,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Day,Hour,Declination Angle,Elevation Angle,Air Mass Coeff,Sunlight Intensity Post Intake,Absorbed Photons,exciton_generation_rate,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
152,152,152,152,152,7,8,-22.489396235765387,5.269373136937119,9.868289665257612,31665.049808743064,5.188968236672915e+23,5.188968236672915e+23,2.0931314816479225e+23,503.37136692972695,346.82287181458184
153,153,153,153,153,7,9,-22.48441277955473,15.972944088339672,3.5921383951952923,260655.750486496,4.271379385631408e+24,4.271379385631408e+24,1.7229935228625737e+24,4143.579189452398,2854.926061532702
154,154,154,154,154,7,10,-22.47941648012517,25.257474710362374,2.333783728066379,622080.6072223076,1.0194067374040514e+25,1.0194067374040514e+25,4.112093652036971e+24,9889.059625338312,6813.5620818580965
155,155,155,155,155,7,11,-22.474407341459308,32.41376801843038,1.8610999052704416,979980.1419837096,1.6058985727284844e+25,1.6058985727284844e+25,6.477890604831888e+24,15578.498900643583,10733.585742543428
156,156,156,156,156,7,12,-22.46938536754984,36.56714547839942,1.6754551220025655,1209873.3244868163,1.9826257306017355e+25,1.9826257306017355e+25,7.997536588716052e+24,19233.053250735335,13251.573689756644
157,157,157,157,157,7,13,-22.46435056239956,37.00046695196816,1.6586718630344317,1234540.603174741,2.0230481289146724e+25,2.0230481289146724e+25,8.160592885485312e+24,19625.182802609554,13521.75095099798
158,158,158,158,158,7,14,-22.45930293002133,33.62722593830855,1.801767577529128,1045784.8340766736,1.7137330650652532e+25,1.7137330650652532e+25,6.912874517669125e+24,16624.5796113734,11454.335352236272
159,159,159,159,159,7,15,-22.45424247443812,27.06056907510889,2.190213444980321,706737.8124216824,1.1581349413507789e+25,1.1581349413507789e+25,4.671696944693766e+24,11234.834015685037,7740.80063680699
160,160,160,160,160,7,16,-22.44916919968293,18.17910131839152,3.177345857290751,334096.6204362561,5.474858754034962e+24,5.474858754034962e+24,2.208454300154671e+24,5311.0503072433385,3659.31366169066
161,161,161,161,161,7,17,-22.444083109798846,7.740790915136216,7.063594808457578,64880.335310536335,1.0631974405361754e+24,1.0631974405361754e+24,4.288737052321336e+23,1031.3864424462786,710.6252588454859
162,162,162,162,162,7,18,-22.43898420883899,-3.720065549438843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,163,163,163,163,7,19,-22.433872500866528,-15.85105226387772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,164,164,164,164,7,20,-22.428747989954665,-28.417224982626195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,165,165,165,165,7,21,-22.423610680186627,-41.24819882424688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,166,166,166,166,7,22,-22.41846057565567,-54.18785564661502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,167,167,167,167,7,23,-22.413297680465053,-66.98599247896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
