Simulated Date,Simulated Day,Hour of Day,Solar Declination Angle,Solar Elevation Angle (degrees),Sunlight Intensity (W/m^2),Concentration Factor,Intensity * Concentration factor (funnel),Absorbed Intensity by QPA,# of photons,Rate of exciton generation,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
2023-01-05 03:00:00,4,3,-22.662912750907704,-49.268045443809925,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05 04:00:00,4,4,-22.662912750907704,-36.34927852403599,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05 05:00:00,4,5,-22.662912750907704,-23.60847227036172,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05 06:00:00,4,6,-22.662912750907704,-11.198306595653635,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05 07:00:00,4,7,-22.662912750907704,0.691795322745177,0.0120738127652789,100,1.2073812765278942,0.1634012870334855,5.754084413742582e+17,5.754084413742582e+17,2.3210886413493805e+17,0.0005581921500895123,0.0005581921500895123
2023-01-05 08:00:00,4,8,-22.662912750907704,11.788255518290024,0.2042953994322918,100,20.429539943229187,2.764837574610614,9.736220003785253e+18,9.736220003785253e+18,3.92740669679643e+18,0.00944491110467143,0.00944491110467143
2023-01-05 09:00:00,4,9,-22.662912750907704,21.676141024430915,0.3693598179975908,100,36.93598179975909,4.998741558492768,1.760278723150825e+19,1.760278723150825e+19,7.100630884309363e+18,0.017076109674124384,0.017076109674124384
2023-01-05 10:00:00,4,10,-22.662912750907704,29.73691410539732,0.4960182011178,100,49.60182011178,6.712876373879259,2.3639016568090927e+19,2.3639016568090927e+19,9.53553144229564e+18,0.02293173428709206,0.02293173428709206
2023-01-05 11:00:00,4,11,-22.662912750907704,35.14439329600193,0.5756389892961519,100,57.56389892961519,7.790426565843219,2.7433548959585817e+19,2.7433548959585817e+19,1.106617392159193e+19,0.026612733803077934,0.026612733803077934
2023-01-05 12:00:00,4,12,-22.662912750907704,37.0704212490923,0.6027961573978657,100,60.27961573978657,8.157958869538193,2.872779329427381e+19,2.872779329427381e+19,1.1588247566740488e+19,0.027868254188206897,0.027868254188206897
2023-01-05 13:00:00,4,13,-22.662912750907704,35.14439329600193,0.5756389892961519,100,57.56389892961519,7.790426565843219,2.7433548959585817e+19,2.7433548959585817e+19,1.106617392159193e+19,0.026612733803077934,0.026612733803077934
2023-01-05 14:00:00,4,14,-22.662912750907704,29.73691410539732,0.4960182011178,100,49.60182011178,6.712876373879259,2.3639016568090927e+19,2.3639016568090927e+19,9.53553144229564e+18,0.02293173428709206,0.02293173428709206
